Folder,Batch,Corrected Batch,Model,Acc1,Acc2,Acc3,Acc4,Acc5,Acc6,Acc7,Acc8,Acc9,Acc10,Avg Last 3,Val Acc1,Val Acc2,Val Acc3,Val Acc4,Val Acc5,Val Acc6,Val Acc7,Val Acc8,Val Acc9,Val Acc10,Avg Last 3
Peach,45,46,1,0.890693665,0.903213501,0.912902832,0.916595459,0.918395996,0.920196533,0.921844482,0.923103333,0.923843384,0.924797058,0.923914591,0.637313843,0.615226746,0.624168396,0.615066528,0.634605408,0.644897461,0.650588989,0.664848328,0.665496826,0.678787231,0.669710795
Peach,46,47,1,0.915588379,0.921096802,0.922325134,0.923149109,0.923873901,0.924163818,0.923484802,0.923950195,0.919700623,0.924621582,0.922757467,0.807380676,0.814292908,0.815483093,0.816230774,0.816581726,0.814674377,0.815917969,0.809371948,0.816360474,0.810562134,0.812098185
Peach,47,48,1,0.80242157,0.810623169,0.814842224,0.819770813,0.822990417,0.825439453,0.830474854,0.83568573,0.841094971,0.848648071,0.841809591,0.884689331,0.866394043,0.866127014,0.863426208,0.859817505,0.862190247,0.852035522,0.847572327,0.838523865,0.826187134,0.837427775
Peach,48,49,1,0.821746826,0.851638794,0.873146057,0.893707275,0.899620056,0.904701233,0.906959534,0.906532288,0.909339905,0.908615112,0.908162435,0.575248718,0.607955933,0.635971069,0.652000427,0.68624115,0.694801331,0.706970215,0.724472046,0.737068176,0.755172729,0.738904317
Peach,49,50,1,0.873725891,0.886947632,0.904388428,0.91632843,0.920799255,0.921951294,0.922821045,0.923728943,0.924568176,0.92464447,0.924313863,0.661392212,0.885032654,0.880058289,0.866065979,0.867218018,0.869697571,0.868041992,0.864852905,0.866142273,0.862258911,0.86441803
Peach,50,51,1,0.906318665,0.910568237,0.911979675,0.912719727,0.913291931,0.913154602,0.91381073,0.91368866,0.914550781,0.914665222,0.914301554,0.837242126,0.824119568,0.820983887,0.825241089,0.827362061,0.831375122,0.835037231,0.838012695,0.845428467,0.847480774,0.843640645
Peach,51,52,1,0.810554504,0.864555359,0.890487671,0.898262024,0.905311584,0.913528442,0.916824341,0.915031433,0.914810181,0.90776825,0.912536621,0.73563385,0.577476501,0.614379883,0.576416016,0.565681458,0.55456543,0.529449463,0.560882568,0.522956848,0.578857422,0.554232279
Peach,52,53,1,0.782737732,0.868125916,0.903083801,0.908821106,0.910820007,0.914329529,0.916046143,0.918540955,0.919593811,0.921684265,0.919939677,0.607872009,0.659568787,0.66091156,0.65637207,0.669685364,0.682556152,0.692810059,0.696739197,0.704795837,0.714569092,0.705368042
Peach,53,54,1,0.827957153,0.84450531,0.863075256,0.87046814,0.87676239,0.885795593,0.892982483,0.90158844,0.909355164,0.915306091,0.908749898,0.860694885,0.865592957,0.870071411,0.86378479,0.858390808,0.851951599,0.846168518,0.84375,0.835403442,0.82951355,0.836222331
Peach,54,55,1,0.878135681,0.897033691,0.900749207,0.902618408,0.903427124,0.905456543,0.907272339,0.909568787,0.910018921,0.910705566,0.910097758,0.645523071,0.609947205,0.618721008,0.610534668,0.617652893,0.605056763,0.606910706,0.611808777,0.60068512,0.607467651,0.606653849
Peach,55,56,1,0.901069641,0.902542114,0.904998779,0.906570435,0.907226563,0.908576965,0.909233093,0.909767151,0.910316467,0.909866333,0.909983317,0.786094666,0.80796814,0.825050354,0.839019775,0.841567993,0.843612671,0.849746704,0.856765747,0.859489441,0.865074158,0.860443115
Peach,56,57,1,0.856719971,0.8670578,0.875709534,0.87828064,0.884422302,0.886604309,0.88822937,0.889907837,0.891937256,0.892547607,0.891464233,0.645614624,0.632865906,0.62538147,0.6275177,0.624290466,0.624435425,0.624786377,0.625419617,0.625900269,0.627540588,0.626286825
Peach,57,58,1,0.906455994,0.912666321,0.914428711,0.913482666,0.913070679,0.91129303,0.912834167,0.91178894,0.91242981,0.912849426,0.912356059,0.501953125,0.579483032,0.588638306,0.620124817,0.606620789,0.630271912,0.630226135,0.6431427,0.642410278,0.634864807,0.640139262
Peach,58,59,1,0.916252136,0.927955627,0.929542542,0.9298172,0.930923462,0.931427002,0.931152344,0.930793762,0.92980957,0.928009033,0.929537455,0.858787537,0.861022949,0.860168457,0.873069763,0.873802185,0.88167572,0.874938965,0.886497498,0.871856689,0.89074707,0.883033752
Peach,59,60,1,0.89352417,0.904724121,0.907546997,0.909233093,0.911117554,0.912445068,0.912948608,0.91368103,0.914100647,0.914390564,0.914057414,0.692710876,0.667167664,0.680229187,0.69960022,0.703063965,0.719161987,0.724075317,0.737632751,0.749725342,0.752990723,0.746782939
Peach,60,61,1,0.899459839,0.898933411,0.907783508,0.910461426,0.912887573,0.914451599,0.917243958,0.918075562,0.919158936,0.919487,0.918907166,0.815391541,0.837387085,0.839477539,0.839546204,0.839920044,0.828910828,0.837028503,0.832626343,0.833427429,0.831893921,0.832649231
Peach,61,62,1,0.867500305,0.880279541,0.884613037,0.888786316,0.89025116,0.893348694,0.89541626,0.897697449,0.898445129,0.90071106,0.898951213,0.567268372,0.570678711,0.583526611,0.583305359,0.584541321,0.583206177,0.586883545,0.589134216,0.570579529,0.573791504,0.577835083
